mmdd,accum
0430,0.033044815
0501,0.3420353
0502,0.52871704
0503,0.10986328
0504,0.012874603
0505,0.0
0506,0.0
0507,0.070381165
0508,0.0017166138
0509,0.05493164
0510,1.6483784
0511,7.097769
0512,0.43087006
0513,0.3918171
0514,0.11844635
0515,0.0
0516,4.446459
0517,19.447947
0518,0.25234222
0519,0.030040741
0520,0.20599365
0521,0.0746727
0522,0.0
0523,0.0
0524,0.0
0525,0.0
0526,0.009441376
0527,0.020170212
0528,0.0
0529,0.20256042
0530,0.53429604
0531,0.26392937
0601,0.20170212
0602,0.52957535
0603,4.9356937
0604,0.06866455
0605,0.025749207
0606,0.0
0607,0.0055789948
0608,0.06566048
0609,0.03991127
0610,10.817671
0611,3.417778
0612,4.9348354
0613,4.788494
0614,0.07123947
0615,0.0
0616,0.0
0617,0.00042915344
0618,0.0
0619,0.028324127
0620,2.7208328
0621,12.032604
0622,21.06328
0623,20.122576
0624,5.230522
0625,3.401041
0626,5.0549984
0627,0.095272064
0628,0.044631958
0629,0.4175663
0630,0.003004074
0701,0.0
0702,0.28152466
0703,0.5390167
0704,2.251339
0705,4.4786453
0706,9.321642
0707,2.6422977
0708,11.268711
0709,1.0900497
0710,0.32486916
0711,0.6561756
0712,0.0034332275
0713,0.84199905
0714,0.0
0715,0.008153915
0716,0.0064373016
0717,0.788784
0718,5.254984
0719,1.0904789
0720,0.028324127
0721,0.0025749207
0722,1.3805866
0723,6.8428516
0724,1.6548157
0725,0.0
0726,0.015878677
0727,0.27208328
0728,0.49352646
0729,0.04377365
0730,0.0
0731,0.009441376
0801,0.0
0802,0.0
0803,0.0
0804,0.0
0805,0.0
0806,0.0
0807,0.0
0808,0.0
0809,0.0
0810,0.7329941
0811,8.637571
0812,0.98962784
0813,4.1889668
0814,0.11329651
0815,1.845789
0816,12.51626
0817,2.4569035
0818,0.0021457672
0819,0.0072956085
0820,0.07982254
0821,2.0213127
0822,0.0
0823,0.0
0824,0.0008583069
0825,0.0
0826,0.0008583069
0827,0.004720688
0828,0.017166138
0829,0.036907196
0830,0.52571297
0831,0.335598
0901,0.5613327
0902,4.1318893
0903,4.79064
0904,6.2411785
0905,4.7721863
0906,1.0939121
0907,0.0
0908,0.12187958
0909,1.0055065
0910,1.2599945
0911,0.12102127
0912,0.21157265
0913,0.11329651
0914,0.16565323
0915,1.9011497
0916,7.201195
0917,0.31843185
0918,0.0064373016
0919,4.6464443
0920,4.517269
0921,1.5239239
0922,3.9932728
0923,2.5547504
0924,0.1253128
0925,0.26307106
0926,0.0
0927,0.020599365
0928,0.38881302
0929,2.00243
0930,0.47035217
1001,1.6745567
1002,11.749363
1003,3.965807
1004,0.13904572
1005,0.07123947
1006,0.0
1007,13.864231
1008,17.233944
1009,12.5312805
1010,4.27866
1011,0.84285736
1012,5.1622868
1013,5.2845955
1014,5.484152
1015,8.562899
1016,2.293396
1017,0.49524307
1018,0.014162064
1019,0.0
1020,2.6350021
1021,7.537651
1022,3.205347
1023,0.90293884
1024,1.0750294
1025,0.095272064
1026,0.018024445
1027,1.0612965
1028,15.342236
1029,24.847126
1030,3.9357662
1031,0.36005974
1101,6.4175606
1102,1.9329071
1103,0.10428429
1104,0.0042915344
1105,0.0008583069
1106,0.416708
1107,3.6194801
1108,0.0012874603
1109,8.4702015
1110,0.48151016
1111,0.112867355
1112,8.933687
1113,2.6028156
1114,0.031757355
1115,1.2763023
1116,0.018024445
1117,0.0
1118,10.582495
1119,0.7973671
1120,0.61540604
1121,0.008583069
1122,0.057935715
1123,0.019741058
1124,0.0008583069
1125,0.07510185
1126,0.0017166138
1127,0.17166138
1128,0.0
1129,0.0
1130,0.0
1201,0.0
1202,0.0
1203,0.0
1204,0.51112175
1205,1.3913155
1206,1.6479492
1207,8.989906
1208,3.6177635
1209,0.08969307
1210,0.014591217
1211,0.0
1212,0.025320053
1213,0.0111579895
1214,0.0746727
1215,0.0034332275
1216,0.0
1217,0.0
1218,0.1502037
1219,0.0008583069
1220,0.0042915344
1221,0.036907196
1222,0.095272064
1223,0.0
1224,0.060510635
1225,1.6003132
1226,1.6573906
1227,0.8261204
1228,1.342392
1229,0.01373291
1230,0.0
1231,0.0017166138
