mmdd,radarAccum,p10,p90
0507,0.0006908968683963686,0.0005536488794294019,0.0007613457558240573
0508,5.334647580735442e-08,2.4911804473032007e-08,5.7647613529466816e-08
0509,0.0,0.0,0.0
0510,1.7405227821568257,1.378248074062851,1.8649287920791768
0511,6.567826579306275,5.3660748648884,7.218960983947158
0512,0.0,0.0,0.0
0513,1.5369248431706655,1.2560204935205745,1.7525278184683724
0514,0.13068266355760438,0.0992880576088365,0.14368975023326364
0515,0.0,0.0,0.0
0516,4.741046853807603,3.865488622425424,5.366464296926607
0517,28.188674170738885,22.86951041488154,30.377846160530183
0518,0.3337996061644014,0.2662823961469583,0.37538770630231183
0519,0.0030879528759328923,0.002432556604066014,0.0035730054257523554
0520,0.04414845123693711,0.036684814309101886,0.05030594330016884
0521,0.07143943939511725,0.055076730008082116,0.0791266496578355
0522,0.0,0.0,0.0
0523,0.0,0.0,0.0
0524,0.0,0.0,0.0
0525,0.0,0.0,0.0
0526,0.0,0.0,0.0
0527,0.02789494861499117,0.019109411312022616,0.027589454316711337
0528,0.0,0.0,0.0
0529,0.037222019441874234,0.029473302897143484,0.040236635054421134
0530,1.0787226284455347,0.9067346538094726,1.2136262271886797
0531,0.052634237716222054,0.044430447165862266,0.05941677485939111
0601,0.06970167889251484,0.03807351615862301,0.055637560534392366
0602,0.42485490373214974,0.33737781910305786,0.4727343726932757
0603,12.31415141345826,10.079195494691467,13.454408612716385
0604,3.7870576922154616e-05,2.568337165984445e-05,3.949309020738637e-05
0605,0.01166629976882559,0.008730641263298871,0.012586981454204801
0606,0.0,0.0,0.0
0607,0.0,0.0,0.0
0608,1.89771768854783,0.49294785032314625,0.7035979280131703
0609,0.009634416032684855,0.0081374936240729,0.011232226549843318
0610,27.024612695470466,23.022701283441272,30.01316501206282
0611,6.483715404745352,4.270570204423358,5.775753740823941
0612,9.742075760358134,7.770840554614031,10.79742892362855
0613,5.950397919064063,4.895692393953864,6.864839098612501
0614,0.0023630759864240714,0.0019975098578242953,0.0027121042012688413
0615,0.0,0.0,0.0
0616,0.011209234077985016,0.008375533400281349,0.011668713816039046
0617,0.0,0.0,0.0
0618,1.8141968012481882e-07,7.715298785862235e-08,2.3362627161922477e-07
0619,0.061917587605514204,0.04605501846960996,0.06864615260749676
0620,3.5884501271869165,3.0369420898964368,3.944931559566009
0621,13.05593137555281,10.886290787766672,13.770030488583462
0622,36.58861857735562,30.455629042113806,39.769938054840395
0623,22.8802349686094,20.207222346690035,25.608906671677676
0624,4.727339935656672,4.031527158273762,5.535239030909988
0625,3.4155507742230644,2.880906171632407,3.7723288066989635
0626,7.92894186380647,6.524370556932794,8.567894705593552
0627,0.024189786140486925,0.01849634924210079,0.025898439909140727
0628,0.0016556849187868005,0.001289158682245923,0.001921298881647402
0629,0.7957120401509447,0.5305237022000645,0.7368897171191531
0630,0.001033389158801589,0.0008089533020009411,0.0011346315513923527
0701,0.0,0.0,0.0
0702,0.5266288014154229,0.4096350696739777,0.5928531435905956
0703,0.9769115638187915,0.8119463344377872,1.1353861836091228
